cell,lat,lon,mean_ALD_hist,mean_ALD_future,ALD_diff,ALD_pct_diff
63.32203_-145.24347,63.32203,-145.24347,0.0,0.026678481831207954,0.026678481831207954,inf
63.32221_-145.72957,63.32221,-145.72957,0.6767129895547868,0.9500774464766517,0.27336445692186495,40.3959228123747
63.32221_-146.78069,63.32221,-146.78069,0.30449947387507237,0.520076039306579,0.2155765654315066,70.79702394492531
63.32241_-147.99002,63.32241,-147.99002,0.5717469246406448,0.7688021203568585,0.19705519571621366,34.46545791917763
63.32413_-148.71370,63.32413,-148.7137,0.5150712088891846,0.6858965825174477,0.1708253736282631,33.165389693722034
63.87885_-148.24585,63.87885,-148.24585,0.34006416022699953,0.5029382499534868,0.16287408972648726,47.89510591700272
63.87905_-147.58731,63.87905,-147.58731,0.3485782546286006,0.5036919364339003,0.15511368180529972,44.49895532656464
63.88028_-146.43214,63.88028,-146.43214,0.7734364988325308,0.9996295099143514,0.22619301108182055,29.245194844469996
63.88095_-147.00975,63.88095,-147.00975,0.8164536276010458,1.0689945437034023,0.2525409161023565,30.931446387762122
63.88200_-144.94147,63.882,-144.94147,1.2095409778176385,1.734742122752178,0.5252011449345395,43.421525567670656
63.88277_-145.93530,63.88277,-145.9353,1.194522456669851,1.6640745555066871,0.46955209883683624,39.30877115076404
