lat,lon,mean_ALD_hist,mean_ALD_future_medium,mean_ALD_future_high
63.56061,-147.11066,0,0.176630222,0.376630222
63.56073,-144.57764,0.635658198,0.850954664,1.050954664
63.56176,-148.41133,0.423436252,0.583771373,0.783771373
63.56284,-147.76099,0.190769192,0.432337406,0.632337406
63.56331,-146.04968,0.590437333,0.789561799,0.989561799
63.56347,-145.06827,0.340019458,0.475647995,0.675647995
63.56432,-145.55898,0.349055846,0.550592749,0.750592749
63.56551,-147.19058,0,0.220377818,0.420377818
63.56566,-146.6201,0,0,0.2
63.56586,-148.49149,0.474451665,0.65327239,0.85327239
63.68753,-148.052,0.443990644,0.609315989,0.809315989
63.68784,-146.82526,0.19143445,0.353123975,0.553123975
63.68806,-145.26587,0.733267228,0.949356751,1.149356751
63.68814,-145.75899,0.841169436,1.166816151,1.366816151
63.68888,-148.78609,0.850758724,1.19994436,1.39994436
63.6915,-147.47882,0,0.257612169,0.457612169
63.6918,-146.33218,0.621920323,0.809689849,1.009689849
63.69185,-148.13249,0.459671353,0.636476137,0.836476137
63.69244,-144.8526,0.956348962,1.434019236,1.634019236
63.69292,-146.90552,0.197577782,0.370744504,0.570744504
63.66736,-147.0773,0.126277735,0.391586724,0.591586724
63.66881,-148.38345,0.695786143,0.971182702,1.171182702
63.66962,-145.02637,0.855016447,1.149301816,1.349301816
63.66975,-146.01187,1.138511841,1.653513618,1.853513618
63.66975,-147.73035,0.05612165,0.291627366,0.491627366
63.67061,-145.5191,0.690794588,0.959451118,1.159451118
63.67229,-146.58469,0.286480897,0.430489106,0.630489106
63.67229,-147.15755,0.161734115,0.418434578,0.618434578
63.67292,-148.46393,0.694043106,0.945577754,1.145577754
63.67323,-144.61336,1.547464727,2.229770667,2.429770667
62.85078,-146.77119,0.63046315,0.891115588,1.091115588
62.8508,-145.73901,0.640232067,0.867847394,1.067847394
62.85117,-147.95874,0.511316152,0.713396384,0.913396384
62.85313,-148.6694,0.735078096,1.069646747,1.269646747
62.85455,-146.29388,0.568066115,0.811520142,1.011520142
62.85474,-147.40387,0.49212692,0.676643152,0.876643152
62.85501,-144.8616,0.719486671,0.993092659,1.193092659
62.85552,-148.03665,0.606544485,0.88740405,1.08740405
62.85587,-146.84888,0.64277421,0.888469338,1.088469338
62.85653,-145.81648,0.59959958,0.827828843,1.027828843
63.2724,-148.4053,0.445081473,0.60698982,0.80698982
63.27345,-147.76227,0.593649527,0.800720439,1.000720439
63.27407,-146.07016,0.46804923,0.651607551,0.851607551
63.27442,-145.09976,0,0.075595827,0.275595827
63.27516,-145.58496,0.346204827,0.557611903,0.757611903
63.27617,-147.19826,0.348252206,0.524992045,0.724992045
63.27636,-146.63419,0.242708242,0.468911792,0.668911792
63.27649,-148.48456,0.40271633,0.571999184,0.771999184
63.27794,-147.8414,0.5883407,0.781557041,0.981557041
63.27829,-144.6931,0,0.304534269,0.504534269
62.83807,-146.06128,0.539255862,0.762673061,0.962673061
62.83844,-145.10706,0.711993951,0.978793483,1.178793483
62.83918,-145.58418,0.652424045,0.910601378,1.110601378
62.84032,-147.17059,0.641103507,0.848200893,1.048200893
62.84042,-146.61592,0.548323283,0.767395299,0.967395299
62.84106,-148.43549,0.795481624,1.179161786,1.379161786
62.84229,-147.80304,0.549857346,0.739940445,0.939940445
62.84231,-144.70715,0.733005806,1.040283393,1.240283393
62.84361,-146.13879,0.558883396,0.798321629,0.998321629
62.84457,-145.18436,0.683742886,0.916285509,1.116285509
63.90532,-147.41461,0.515255303,0.674127844,0.874127844
63.90599,-148.07382,0.298987217,0.455193209,0.655193209
63.90644,-146.83643,0.799579178,1.031824391,1.231824391
63.90672,-145.26352,1.321105382,1.924656829,2.124656829
63.90683,-145.76091,1.175270259,1.705206117,1.905206117
63.90722,-148.81427,0.805892772,1.117398851,1.317398851
63.91003,-147.49567,0.492527794,0.654412668,0.854412668
63.91029,-148.155,0.375721729,0.536265168,0.736265168
63.91047,-146.3391,0.850047971,1.113551869,1.313551869
63.91109,-144.84666,1.183770578,1.702836646,1.902836646
62.95591,-148.56502,0.50646901,0.702329159,0.902329159
62.95647,-147.29451,0.633057329,0.863426467,1.063426467
62.95653,-145.22168,0.549913082,0.740544355,0.940544355
62.95682,-145.70096,0.531754768,0.742853006,0.942853006
62.95712,-146.73737,0.518863105,0.709418908,0.909418908
62.95778,-147.92978,0.503625777,0.707476215,0.907476215
62.9599,-148.64333,0.402872806,0.587360606,0.787360606
62.96076,-146.2581,0.572022149,0.772954231,0.972954231
62.96079,-144.82001,0.615257259,0.825628332,1.025628332
62.96126,-147.37262,0.617393274,0.840251112,1.040251112
63.91879,-145.42477,1.332593237,1.998915363,2.198915363
63.91932,-147.65788,0.476665131,0.658299674,0.858299674
63.92121,-146.50085,0.7987838,1.027144592,1.227144592
63.92154,-147.07941,0.84152822,1.106553108,1.306553108
63.92292,-148.39873,0.518595252,0.727529555,0.927529555
63.92367,-145.00775,1.141491396,1.622897754,1.822897754
63.9239,-147.73904,0.646593395,0.902451059,1.102451059
63.92393,-146.0032,1.058756587,1.480838991,1.680838991
63.92475,-145.50548,1.316177973,1.995756369,2.195756369
63.92647,-147.16046,0.747426987,0.959573998,1.159573998
62.77903,-147.34698,0.473878748,0.651129645,0.851129645
